IDs,priority_tier,consensus_outlier_score,ligand_outlier,metal_connectivity_outlier,metal_oxidation_outlier,metal,formula,n_atoms,ilp_neighbors,reference_neighbors,ilp_oxidation,reference_oxidation
PHQUMO,C,1,0,1,0,Mo,C14 H8 Cl2 Mo1 O4,29,Cl Cl O O O,Cl Cl O O O O,6,6
PICNEU,C,1,0,1,0,Hf,C31 H22 Cl2 Hf1,56,C C C C C C C C Cl Cl,C C C C C C C C C C Cl Cl,4,4
PIDDUE,C,1,0,1,0,Ag,C26 H26 Ag1 Cl1 N1 O3 P1,59,Cl N O P,Cl N P,1,1
PIDTOL,C,1,0,1,0,Re,C9 H21 N3 O3 Re1 1+,37,O O O,N N N O O O,7,7
PIFQUS,C,1,0,1,0,Pt,C25 H33 N2 O1 Pt1 S1 1+,63,C C N N S,C C N N O S,4,4
PIGBIT,C,1,1,0,0,Pd,C20 H10 F6 N2 O4 Pd1,43,N N O O,N N O O,2,2
PIGQEC,C,1,1,0,0,Ru,C28 H28 N4 O4 Ru1 S2,67,N N O O S S,N N O O S S,2,2
PIGXAG,C,1,0,1,0,Zn,C31 H50 N2 Zn1,84,C,C C C,2,2
PIHNAV,C,1,0,1,0,Hg,C16 H23 Br1 Hg1 O5,46,Br C O O O,Br C,2,2
PIKFOG,C,1,0,0,1,Mo,C17 H10 As3 Mo1 O3 1-,34,As As As C C C C C,As As As C C C C C,2,0
PILMUS,C,1,0,1,0,Pt,C11 H17 Cl1 N4 Pt1,34,C C C N N,C C C Cl N N,4,4
PILPUV,C,1,0,1,0,V,C26 H20 N3 O4 V1,54,N O O O O,N N O O O O,5,5
PIPXIV,C,1,0,1,0,Zr,C28 H30 Cl2 Zr1,61,C C C C C C C C Cl Cl,C C C C C C C C C C Cl Cl,4,4
PIPYUK,C,1,0,1,0,Tc,C13 H25 N3 O3 Tc1 1+,45,N N O O O,N N N O O O,5,5
PIQSUG,C,1,0,1,0,Pt,C12 H16 Br3 F1 N2 Pt1,35,Br Br Br C N,Br Br Br C N N,4,4
PIQTAN,C,1,0,1,0,Pt,C13 H19 Br2 F1 N2 Pt1,38,Br Br C C N,Br Br C C N N,4,4
PIQTER,C,1,0,1,0,Pt,C12 H16 Br1 F1 N2 Pt1,33,Br C N,Br C N N,2,2
PIQTOY,C,1,1,0,0,Zn,C32 H26 N8 S2 Zn1,69,N N S S,N N S S,2,2
PIXSIZ,C,1,0,0,1,Pd,C32 H27 Br1 N1 P2 Pd1 S2 1+,66,Br C S S,Br C S S,4,2
PIXTIZ,C,1,0,1,0,Ti,C9 H21 Cl2 N3 O1 Ti1,37,Cl Cl N N O,Cl Cl N N N O,4,4
PIYNER,C,1,0,1,0,Y,C21 H48 Cl2 N3 O2 Si2 Y1,79,C Cl Cl N N O O,Cl Cl N N O O,3,3
PIYPES,C,1,0,1,0,Fe,C10 H11 Fe1 N1 O4,27,C C C C C C,C C C C C C C,0,0
POCDAN,C,1,0,1,0,V,C20 H18 N3 O5 V1,47,N O O O O,N N O O O O,5,5
POCXAG,C,1,0,0,1,W,C25 H25 N1 O8 W1,60,C C C C C C,C C C C C C,2,0
PODCEQ,C,1,0,0,1,W,C29 H35 N1 O8 W1,74,C C C C C C,C C C C C C,2,0
POJSIS,C,1,0,0,1,V,C19 H17 N2 O6 V1,45,N O O O O O,N O O O O O,3,5
PONJIL,C,1,0,1,0,Mn,C27 H23 Mn1 O3,54,C C C C C C,C C C C C C C C,1,1
PONJOR,C,1,0,1,0,Mn,C17 H18 Mn1 O3 1+,39,C C C C C C C,C C C C C C C C C,1,1
POPWUM,C,1,0,1,0,Os,C27 H51 Cl2 N1 Os1 P2,84,C Cl Cl P P,C Cl Cl N P P,4,4
PORLAK,C,1,0,1,0,W,C31 H40 Cl2 N2 O2 W1,78,Cl Cl N O O,Cl Cl N N O O,6,6
PORLEO,C,1,0,1,0,W,C33 H46 N2 O2 W1,84,C C N O O,C C N N O O,6,6
POWGUE,C,1,0,1,0,Hg,C7 H5 Cl1 Hg1 O2,16,C Cl O,C Cl,2,2
POWJIU,C,1,1,0,0,Pd,C19 H35 Cl1 N1 P2 Pd1 1+,59,C Cl P P,C Cl P P,2,2
POXDUC,C,1,0,1,0,W,C31 H40 Cl2 N2 O2 W1,78,Cl Cl N O O,Cl Cl N N O O,6,6
POYGEQ,C,1,0,1,0,Ir,C30 H33 Ir1 N2 O2,68,C C C,C C C C,1,1
POYQEB,C,1,0,0,1,Pd,C24 H25 N3 O2 Pd1,55,N N N O,N N N O,4,2
POYQOL,C,1,0,0,1,Pd,C27 H31 N3 O2 Pd1,64,N N N O,N N N O,4,2
POYRAY,C,1,0,0,1,Pd,C22 H22 Cl1 N3 Pd1,49,Cl N N N,Cl N N N,4,2
POYRIG,C,1,0,0,1,Pd,C25 H28 Cl1 N3 Pd1,58,Cl N N N,Cl N N N,4,2
POYRUS,C,1,0,0,1,Pd,C28 H27 N3 Pd1,59,C N N N,C N N N,4,2
POYSED,C,1,0,0,1,Pd,C31 H33 N3 Pd1,68,C N N N,C N N N,4,2
POZSIG,C,1,0,1,0,Zr,C48 H32 Cl2 Zr1,83,C C C C C C C C C Cl Cl,C C C C C C C C C C Cl Cl,4,4
PUCREM,C,1,0,0,1,Pd,C47 H30 N2 O2 Pd1 S1,83,C N N S,C N N S,4,2
PUGWOD,C,1,0,1,0,V,C12 H14 N1 O6 V1,34,N O O O O,N O O O O O,5,5
PUJNIR,C,1,0,1,0,Cu,C24 H33 Cu1 N3 1+,61,N N,C C N N,1,1
PUMBAA,C,1,0,1,0,W,C21 H27 N1 O3 W1,53,C C C C C N O O,C C C C C C N O O,4,4
PUMDAD,C,1,0,1,0,Pd,C31 H32 N2 P1 Pd1 1+,67,C N P,C N N P,2,2
PUMGIO,C,1,0,1,0,Pt,C19 H23 Cl1 N4 O1 Pt1,49,C Cl N,C Cl N N,2,2
PUNVIF,C,1,1,0,0,Pt,C24 H37 Cl1 P2 Pt1 Si1,66,Cl P P Si,Cl P P Si,2,2
PUNVOL,C,1,1,0,0,Pt,C33 H48 P2 Pt1 Si1,85,C P P Si,C P P Si,2,2
PUQZIK,C,1,0,1,0,Zr,C28 H50 Cl2 N4 Zr1,85,C C Cl Cl N N N N,Cl Cl N N N N,4,4
PUVBIR,C,1,0,1,0,Ni,C26 H20 N4 Ni1 O2 S2,55,N N N N S,N N N N S S,2,2
PUXREG,C,1,1,0,0,Fe,C14 H24 Cl2 Fe1 N2 Si1,44,Cl Cl H N N,Cl Cl N N,2,2
PUXSUX,C,1,0,1,0,Pt,C40 H34 P2 Pt1,77,C P P,C C P P,0,0
QADJOV,C,1,0,1,0,Os,C13 H10 B1 F6 N7 O4 Os1,42,N N N O O,N N N N O O,6,6
QADJUB,C,1,0,1,0,Os,C9 H10 B1 N9 O6 Os1,36,N N N O O,N N N N O O,6,6
QAGBEG,C,1,0,1,0,Os,C13 H25 N3 O5 Os1,47,N O O O,N N N O O O,6,6
QAGDUX,C,1,0,0,1,Pt,C20 H26 N6 Pt1 S2,55,N N S S,N N S S,0,2
QAHBAC,C,1,1,0,0,Fe,C12 H20 Fe1 O2 Si2,37,C C C C C C C Si,C C C C C C C Si,2,2
QAHDEJ,C,1,0,1,0,Pd,C23 H30 Br1 N3 Pd1,58,Br C C,Br C C N,2,2
QAHPOG,C,1,0,1,0,Pt,C26 H26 Cl1 N2 P1 Pt1,57,C Cl P,C Cl N P,2,2
QAPBUG,C,1,0,1,0,Mo,C22 H40 Mo1 N3 O2 P1 S3,72,N N O S S,N N N O S S,4,4
QARMOM,C,1,0,1,0,Re,C7 H12 Br2 N3 O2 Re1,27,Br Br N O O,Br Br N N O O,5,5
QAWHUT,C,1,0,1,0,Zn,C24 H32 N2 O6 Zn1,65,N N O O O,N N O O,2,2
QAXDAU,C,1,0,1,0,Zr,C28 H36 N6 O3 Zr1,74,C C C C C C N N N O O O,C C C C C N N N O O O,4,4
QAYKAF,C,1,0,1,0,Re,C12 H12 N1 O3 Re1,29,C C C C C C C,C C C C C C C C,1,1
QAYXUJ,C,1,0,1,0,W,C21 H41 N1 O3 Si2 W1,69,C C O O O,C C N O O O,6,6
QEHZOS,C,1,0,1,0,Pt,C17 H24 Cl1 N4 Pt1 1+,47,C C C N N,C C C Cl N N,4,4
QEJHUJ,C,1,0,1,0,Cu,C21 H43 Cu1 N2 Si2,69,C N N,C C N N,1,1
QEKLAU,C,1,0,1,0,Ir,C25 H37 Ir1 N1 P1 S1,66,C C C C S,C C C C C S,1,1
QELZOZ,C,1,1,0,0,V,C17 H14 N3 O5 V1,40,N N O O O O O,N N O O O O O,5,5
QEPCAP,C,1,0,1,0,V,C18 H20 N2 O4 V1 1+,43,N N O O O,N N O O O O,5,5
QERLAA,C,1,0,0,1,W,C25 H25 N1 O9 W1,61,C C C C C C,C C C C C C,2,0
QEXHEH,C,1,0,1,0,Zr,C30 H34 F12 N2 O2 Zr1,81,C C N O O,C C N N O O,4,4
QEZRAP,C,1,1,0,0,Pd,C25 H20 Cl1 N3 O2 Pd1 S1,53,Cl N N N,Cl N N N,2,2
QICJUI,C,1,0,1,0,Ta,C18 H27 N1 O3 Ta1 1+,50,C C C C C C N O O,C C C C C C N O O O,5,5
QICVAA,C,1,1,0,0,Cu,C30 H46 Cu1 P3 Se1,81,P P P Se,P P P Se,1,1
QIGPON,C,1,0,1,0,Rh,C26 H32 Cl1 N2 Rh1,58,C C C C Cl,C C C C C Cl,1,1
QIGYIQ,C,1,0,1,0,Zr,C38 H44 Cl2 Zr1,85,C C C C C C C C C Cl Cl,C C C C C C C C C C Cl Cl,4,4
QIGZAJ,C,1,0,1,0,Zr,C30 H36 Cl2 Zr1,69,C C C C C C C C C Cl Cl,C C C C C C C C C C Cl Cl,4,4
QIJWIS,C,1,1,0,0,Zn,C16 H8 N14 O2 S2 Zn1,43,N N N N O O,N N N N O O,2,2
QIKQAF,C,1,0,0,1,Pt,C21 H19 N5 Pt1,46,C N N N,C N N N,4,2
QIKQEJ,C,1,0,0,1,Pd,C21 H19 N5 Pd1,46,C N N N,C N N N,4,2
QITXIC,C,1,1,0,0,Mo,C18 H14 Mo1 N2 O7,42,O O O O O O O,O O O O O O O,2,4
QITXOI,C,1,1,0,0,Mo,C20 H18 Mo1 N2 O7,48,O O O O O O O,O O O O O O O,2,4
QITXUO,C,1,1,0,0,Mo,C10 H8 Mo1 N2 O6,27,N O O O O O O,N O O O O O O,4,5
QIXNUG,C,1,0,1,0,Ti,C28 H41 N3 O4 Ti1,77,C C C C C C N N O O,C C C C C N N O O,4,4
QOCJAU,C,1,0,1,0,Co,C37 H30 Co1 P1,69,C C C C C C P,C C C C C C C P,1,1
QODHOG,C,1,0,1,0,Ta,C24 H43 Cl2 N4 Ta1,74,Cl Cl N N N,Cl Cl N N N N,5,5
QODLUR,C,1,0,1,0,Ru,C38 H36 Cl2 N2 P2 Ru1,81,Cl Cl N P P,Cl Cl N N P P,2,2
QOKSEO,C,1,0,1,0,Re,C24 H24 Cl2 N2 O2 P1 Re1,56,Cl Cl O O P,Cl Cl N O O P,5,5
QOKXAR,C,1,1,0,0,Zn,C30 H33 Cl2 N1 O1 P2 Se1 Zn1,71,Cl Cl O Se,Cl Cl O Se,2,2
QOKZUL,C,1,0,0,1,Pt,C26 H36 N8 Pt1 S2,73,N N S S,N N S S,0,2
QOLPUC,C,1,0,1,0,Re,C14 H17 Cl1 N4 O1 Re1 1+,38,Cl N N N O,Cl N N N N O,5,5
QOPSUL,C,1,0,1,0,Fe,C23 H36 Fe1 N2 O6 Si2,70,C C C C C C C,C C C C C C C C,0,2
QOPYEZ,C,1,0,1,0,Hf,C24 H26 Cl2 Hf1 Si1,54,C C C C C C C C Cl Cl,C C C C C C C C C C Cl Cl,4,4
QOPYID,C,1,0,1,0,Zr,C24 H26 Cl2 Si1 Zr1,54,C C C C C C C C C Cl Cl,C C C C C C C C C C Cl Cl,4,4
QOPZUR,C,1,0,1,0,Au,C6 H10 Au1 Cl1,18,C Cl,C C Cl,1,1
QOQNAL,C,1,0,1,0,Ti,C17 H21 Cl2 N1 O2 S1 Ti1,45,C C C C C Cl Cl N O S,C C C C C Cl Cl N O,4,5
QOSGEL,C,1,1,0,0,Fe,C36 H43 Fe1 N2 O1 Si1 1+,84,C H H N N O,C N N O,2,2
QOSGUB,C,1,1,0,0,Fe,C28 H24 Br2 Fe1 N2,57,Br Br H H N N,Br Br N N,2,2
QOTNAO,C,1,0,0,1,Mn,C8 H3 Mn1 N1 O5 S1 1+,19,C C C C C C,C C C C C C,3,1
QOTNES,C,1,0,0,1,Mn,C9 H5 Mn1 N1 O5 S1 1+,22,C C C C C C,C C C C C C,3,1
QOVKIW,C,1,0,0,1,Fe,C45 H28 Fe1 N5 1-,79,C N N N N,C N N N N,4,2
QOVRIC,C,1,0,1,0,Pd,C12 H17 I1 N2 Pd1,33,C I N,C I N N,2,2
QOVROI,C,1,0,1,0,Pd,C12 H17 Br1 N2 Pd1,33,Br C N,Br C N N,2,2
QOXZEK,C,1,1,0,0,Co,C26 H34 Co1 N4 1+,65,N N N N,N N N N,3,3
QOZMUP,C,1,0,1,0,Mo,C16 H17 Br1 Mo1 N4 O3 S1,43,N N O O O,N N N O O O,6,6
QUBJIG,C,1,0,1,0,Re,C18 H20 N2 O5 Re1 1+,46,C C N N O,C C N N O O,5,5
QUCBEX,C,1,0,1,0,Cu,C30 H42 B2 Cl1 Cu1 N4,80,B B Cl H H,B B Cl,3,3
QUDJII,C,1,0,1,0,W,C28 H32 N2 W1,63,C C C N N,C C C C C C N N,6,6
QUGJAE,C,1,0,1,0,Pt,C22 H26 Pt1,49,C C C C C,C C C C C C C,4,4
QUGPOY,C,1,0,0,1,Re,C19 H20 Cl1 N4 O2 Re1 S1,48,Cl N O O S,Cl N O O S,3,5
QUGPUE,C,1,0,0,1,Tc,C19 H20 Cl1 N4 O2 S1 Tc1,48,Cl N O O S,Cl N O O S,3,5
QUGQEP,C,1,0,0,1,Re,C31 H33 N6 O4 Re1 S2,77,N O O O S S,N O O O S S,3,5
QUHVUK,C,1,0,1,0,Re,C23 H24 B1 N8 O1 Re1,58,N N N N O,N N N N N O,5,5
QUQYAC,C,1,0,0,1,Ni,C48 H26 N4 Ni1,79,N N N N,N N N N,4,2
QUSCAI,C,1,0,1,0,Ru,C25 H45 N2 O1 Ru1 Si1 1+,75,C C C C C C C N,C C C C C C C C N,2,2
RABLEH,C,1,0,1,0,Mo,C22 H18 F12 Mo1 O4 S1,58,C C C C C C C C O,C C C C C C C C C C O,2,3
RACHIN,C,1,0,1,0,Os,C26 H40 N2 O5 Os1 Si1,75,N O O O O,N N O O O O,6,6
RACNER,C,1,0,1,0,Ni,C24 H28 B1 N7 Ni1 O1,62,C N N N N O,N N N N O,2,2
RACNIV,C,1,0,1,0,Ni,C25 H30 B1 N7 Ni1 O1,65,C N N N N O,N N N N O,2,2
RACNOB,C,1,0,1,0,Ni,C25 H27 B1 F3 N7 Ni1 O1,65,C N N N N O,N N N N O,2,2
RACWAT,C,1,0,1,0,W,C15 H39 As1 N4 Si3 W1,63,As N N N,As N N N N,6,6
RAJPOJ,C,1,1,0,0,Au,C31 H13 Au1 F15 P1 Se1,62,C C C Se,C C C Se,3,3
RAJZAG,C,1,0,1,0,Mo,C15 H11 Br1 Cl2 Mo1 N2 O5,37,N O O O O,N O O O O O,6,6
RAKPUR,C,1,0,1,0,Nb,C26 H36 B1 N6 Nb1 O1,71,C C C N N N,C C C C N N N,3,3
RAKQEC,C,1,0,1,0,Nb,C30 H38 B1 N6 Nb1,76,C C C N N N,C C C C N N N,3,3
RALDOZ,C,1,0,1,0,Ti,C30 H48 N2 O4 Ti1,85,N O O O O,N N O O O O,4,4
RAMQAZ,C,1,0,1,0,Ru,C29 H36 N1 O5 P1 Ru1,73,C O O O P,C O O O O P,4,4
RAMSIJ,C,1,0,1,0,Nb,C31 H44 B1 N6 Nb1,83,C C C N N N,C C C C N N N,3,3
RAMVOS,C,1,0,1,0,Zr,C35 H43 Cl2 O3 P1 Zr1,85,C C C C C Cl Cl O O,C C C C C Cl Cl O O O,4,4
RAPGUK,C,1,0,1,0,Re,C20 H29 O1 Re1 S2,53,C C C O S S,C C C C C O S S,5,5
RAPHUN,C,1,0,0,1,Ni,C20 H47 Cl3 N2 Ni1 P2,75,Cl Cl Cl P,Cl Cl Cl P,4,2
RAPLAX,C,1,0,1,0,Ru,C36 H40 Cl2 N2 P2 Ru1,83,Cl Cl N P P,Cl Cl N N P P,2,2
RAPTEK,C,1,1,0,0,Fe,C27 H42 Fe1 N2 Si1,73,C C C C C C Si,C C C C C C Si,2,2
RAQJEZ,C,1,0,1,0,Pt,C24 H29 Cl1 O3 P2 Pt1,60,C Cl P,C Cl O P,2,2
RAQJOJ,C,1,0,1,0,Pt,C25 H29 F3 O6 P2 Pt1 S1,67,C O P,C O O P,2,2
RAQPOP,C,1,0,1,0,Re,C36 H38 N2 O2 P2 Re1 1+,81,N O O P P,N N O O P P,5,5
RATSEK,C,1,0,1,0,Cr,C17 H16 Cr1 O5 Si1,40,C C C C C,C C C C C C C,2,2
RATVAK,C,1,0,0,1,Pt,C15 H15 Cl1 N2 O1 Pt1 S1,36,Cl N N S,Cl N N S,4,2
RAWJIL,C,1,0,1,0,Mo,C41 H32 Mo1 O10,84,C C C C C C C O,C C C C C C C C O,4,4
RAZDUT,C,1,0,1,0,Re,C31 H24 Cl2 N2 O2 P1 Re1 S1,64,Cl Cl N N O,Cl Cl N N O O,5,5
RAZFAZ,C,1,0,1,0,Zr,C16 H31 Cl1 N2 Si1 Zr1,52,C C C C C C Cl N,C C C C C C Cl N N,4,4
RAZKEI,C,1,0,1,0,Ru,C16 H36 Cl1 N6 Ru1 1+,60,Cl N N N N,Cl N N N N N,2,2
REBYUS,C,1,0,1,0,Mo,C13 H18 Mo1 N2 O5,39,N O O O O,N N O O O O,6,6
RECHIS,C,1,0,1,0,Zr,C29 H29 P1 Zr1,60,C C C C C C C C C C C P,C C C C C C C C C C C C P,2,2
RECJUG,C,1,0,1,0,Ti,C29 H44 Cl3 N3 Ti1,80,C Cl Cl Cl N N,Cl Cl Cl N N,4,4
RECLIV,C,1,0,1,0,Os,C13 H27 N3 O5 Os1,49,N O O O,N N N O O O,6,6
RECNUI,C,1,0,1,0,Re,C13 H19 B1 Cl1 N6 O1 Re1,42,C Cl N N O,C Cl N N N O,5,5
REFCIQ,C,1,0,1,0,Re,C27 H30 Br3 N4 O5 Re1 S2,72,C C C S,Br C C C S S,1,1
REHXAD,C,1,0,1,0,Re,C11 H23 Cl2 O2 Re1 S2,41,Cl Cl O O S,Cl Cl O O S S,5,5
REHXIL,C,1,0,1,0,Re,C8 H17 Cl2 O3 Re1 S2,33,Cl Cl O O S,Cl Cl O O S S,5,5
RELZEP,C,1,0,0,1,Ru,C25 H31 Cl1 O5 Ru1 S3,66,Cl O O S S S,Cl O O S S S,4,2
REMMOM,C,1,0,0,1,Ni,C11 H11 N7 Ni1 Se1,31,N N N Se,N N N Se,4,2
RENKUS,C,1,1,0,0,Au,C31 H33 Au1 Cl3 N3 O2,73,C Cl Cl Cl,C Cl Cl Cl,3,3
REPWAM,C,1,0,1,0,Ru,C38 H37 Cl2 N1 O1 P2 Ru1,82,Cl Cl O P P,Cl Cl N O P P,2,2
RERGIG,C,1,0,1,0,Pt,C25 H35 N6 O2 Pt1 1+,69,C C C N,C C C N N N,4,4
RERGOM,C,1,0,1,0,Pt,C25 H37 N6 O2 Pt1 Si1 1+,72,C C C N,C C C N N N,4,4
RERGUS,C,1,0,1,0,Pt,C15 H19 N6 O2 Pt1 1+,43,C C C N,C C C N N N,4,4
RETPEN,C,1,0,0,1,Re,C21 H23 N6 O1 Re1 S2,54,C N O S S,C N O S S,3,5
RETPIR,C,1,0,0,1,Re,C20 H27 N6 O1 Re1 S3,58,N N O S S,N N O S S,3,5
RETPOX,C,1,0,0,1,Re,C21 H23 N6 O1 Re1 S3,55,N N O S S,N N O S S,3,5
REVWAR,C,1,0,1,0,Pd,C24 H30 N2 Pd1,57,C C,C C N N,2,2
REWYAU,C,1,0,1,0,Ti,C21 H40 N4 Ti1,66,C C N N N,C C N N N N,4,4
REYLUD,C,1,0,1,0,Os,C25 H41 Cl1 O3 Os1 P2,73,C C Cl P P,C C C Cl P P,2,2
REYRIW,C,1,0,1,0,V,C11 H14 N1 O2 S2 V1,31,O O S S,N O O S S,5,5
RIKGEZ,C,1,0,1,0,Sc,C25 H40 N1 Sc1 Si2,69,C C C C C C N,C C C C C C C N,3,3
RIKGIE,C,1,1,0,0,Zn,C28 H24 N2 O2 Zn1,57,N N O O,N N O O,2,2
RINGON,C,1,0,1,0,Ir,C34 H45 Ir1 P2,82,C C P P,C C C P P,1,1
RIQKAD,C,1,0,0,1,Ni,C47 H31 N5 Ni1,84,N N N N,N N N N,4,2
RIRFUW,C,1,0,0,1,Fe,C21 H23 Fe1 N1 O2,48,C C C C C C C C,C C C C C C C C,4,2
RITRAQ,C,1,1,0,0,Zn,C20 H36 B2 N8 Zn1,67,B B C H H N,B B C N,2,2
RIVFUY,C,1,0,1,0,Re,C19 H26 N3 O4 Re1,53,C C C N N,C C C N N N,1,1
RIXBIJ,C,1,0,1,0,Zr,C23 H33 N2 O4 Zr1 1+,63,C C C C C C C C C C C N O O,C C C C C C C C C C N O O,4,4
RIZJER,C,1,0,1,0,Zr,C30 H50 N2 Zr1,83,C C C C C C C C C C C,C C C C C C C C C C C C,2,2
RIZTOL,C,1,0,1,0,Pt,C23 H23 Br1 F2 N2 Pt1,52,Br C C C N,Br C C C N N,4,4
RIZYIK,C,1,0,1,0,Re,C21 H35 Br1 Cl1 N2 O2 P1 Re1 1+,64,Br C C Cl N P,Br C C Cl N N P,3,3
ROBCER,C,1,0,1,0,Pt,C26 H38 N2 O2 Pt1,69,C C N,C C N N,2,2
ROCVEN,C,1,0,1,0,Mo,C14 H14 Mo1 N3 O5 1+,37,N O O O O,N O O O O O,6,6
RODFEV,C,1,0,0,1,Ni,C40 H31 N2 Ni1 O1 P1 S1,77,N O P S,N O P S,0,2
RODFIZ,C,1,0,0,1,Ni,C40 H31 N2 Ni1 P1 S2,77,N P S S,N P S S,0,2
RODMEC,C,1,0,1,0,Pd,C24 H26 I2 N1 O1 P1 Pd1,56,I I P,I I N P,2,2
RODNON,C,1,0,1,0,Pd,C25 H28 I2 N1 O1 P1 Pd1,59,I I P,I I N P,2,2
ROFSAG,C,1,0,1,0,Fe,C22 H48 Fe1 O2 P2 Si2,77,C C C P P,C C C C P P,0,0
ROJPAH,C,1,0,1,0,Pt,C10 H25 F3 N2 O3 Pt1 S1,45,C C C O,C C C N N O,4,4
ROJWUJ,C,1,0,0,1,Pt,C26 H21 Cl3 N4 O1 Pt1,56,C C Cl N,C C Cl N,4,2
ROMKUZ,C,1,0,1,0,Re,C17 H19 N1 O2 Re1 1+,40,C C C C C C C N,C C C C C C C C N,3,3
ROMLIO,C,1,0,1,0,Pt,C16 H25 F3 N2 O1 Pt1,48,C C C F N,C C C F N N,4,4
ROXFER,C,1,0,1,0,Ru,C13 H26 Cl2 N2 Ru1,44,C C C C Cl Cl N,C C C C Cl Cl N N,2,2
ROYFUI,C,1,0,1,0,Au,C32 H45 Au1 P1 Si2 1+,81,C P,C C P,1,1
RUCLAD,C,1,0,1,0,Pd,C18 H21 N2 Pd1 S3 1+,45,C N S S,C N S S S,2,2
RUJLIT,C,1,0,0,1,W,C12 H9 N1 O5 W1,28,C C C C C C,C C C C C C,2,0
RUJRAR,C,1,1,0,0,Cr,C20 H25 Cr1 N1 O11,58,C C C C C C,C C C C C C,0,0
RUKPES,C,1,0,1,0,Re,C21 H23 Cl2 N1 O2 P1 Re1,51,Cl Cl O O P,Cl Cl N O O P,5,5
RUMVEC,C,1,0,1,0,W,C18 H41 N3 S2 W1,65,N N S S,N N N S S,6,6
RUMVIG,C,1,0,1,0,W,C20 H46 N4 S2 W1,73,N N S S,N N N S S,6,6
RUXHOH,C,1,0,1,0,Cu,C18 H18 Cu1 N2 O8 1+,47,N N O O O O,N N O O,1,1
RUZZAN,C,1,0,1,0,W,C14 H16 O2 W1,33,C C C C O O,C C C C C C O O,6,6
SADVUP,C,1,0,1,0,Pd,C23 H34 I1 O2 P1 Pd1,62,C I P,C I O P,2,2
SAFMUK,C,1,0,1,0,Pd,C25 H38 Br1 N1 P2 Pd1,68,C P P,C C P P,0,0
SAKFOB,C,1,0,1,0,Re,C30 H26 N1 O5 P1 Re1 1+,64,C C C N P,C C C N O P,1,1
SAKLOI,C,1,0,1,0,V,C16 H14 N3 O5 V1,39,N N O O O O,N N O O O O O,3,5
SAKREB,C,1,0,1,0,W,C30 H35 Cl1 O1 P2 W1,70,C C C Cl P P,C C C C Cl P P,4,4
SANMID,C,1,0,1,0,Fe,C20 H17 Fe1 N1 O5 S1,45,C C C C C C C,C C C C C C C C,2,2
SAPSIM,C,1,1,0,0,Ni,C24 H36 Br2 Ni1 P2,65,Br C P P,Br C P P,2,2
SAPSUY,C,1,1,0,0,Ni,C18 H24 Br2 Ni1 P2,47,Br C P P,Br C P P,2,2
SARQOT,C,1,0,1,0,Os,C10 H16 Cl3 N5 Os1,35,Cl Cl N N N,Cl Cl Cl N N N,6,6
SAWMIP,C,1,0,1,0,Re,C21 H16 O5 P1 Re1,44,C C C O P,C C C O O P,1,1
SAWPOW,C,1,0,1,0,Ru,C29 H44 N2 P1 Ru1 1+,77,C C C C C N P,C C C C C N N P,2,2
SAYHIJ,C,1,0,0,1,Pd,C29 H26 N2 P2 Pd1 S2,56,N P P S,N P P S,4,2
SAYQIT,C,1,0,0,1,Pd,C24 H22 Cl1 N5 O1 Pd1,54,Cl N N N,Cl N N N,4,2
SEDKIV,C,1,0,1,0,Pd,C8 H22 N2 Pd1,33,C C,C C N N,2,2
SEGPOK,C,1,0,1,0,Ir,C13 H13 I2 Ir1 N2 O2,33,C C I I N,C C I I N N,3,3
SEJVUA,C,1,1,0,0,Ni,C28 H34 N2 Ni1 O2,67,C N N O,C N N O,2,2
SEKXOV,C,1,0,1,0,Pt,C24 H51 O3 P2 Pt1 S1 1+,82,C P P,C O P P,2,2
SEMHUQ,C,1,0,1,0,Os,C25 H49 N3 Os1 P2,80,C N P P,C N N P P,4,4
SEPNAC,C,1,0,1,0,Re,C12 H12 N1 O4 Re1,30,C O O O O,C N O O O O,7,7
SEPZOC,C,1,0,1,0,Cr,C22 H42 Cr1 N2 Si2,69,C C N N,C C C C N N,6,4
SEQVAL,C,1,0,1,0,Ru,C32 H34 Cl1 P1 Ru1,69,C C C C C C Cl P,C C C C C C C Cl P,4,4
SEWCAZ,C,1,0,1,0,V,C28 H20 N3 O5 V1,57,N O O O O,N N O O O O,5,5
SEWTAQ,C,1,0,0,1,Pd,C29 H38 N4 Pd1 S1,73,N N N N,N N N N,4,2
SEWTEU,C,1,0,0,1,Pd,C30 H34 N6 Pd1,71,N N N N,N N N N,4,2
SEWTOE,C,1,0,0,1,Pd,C30 H38 N6 Pd1,75,N N N N,N N N N,4,2
SEWYUQ,C,1,1,0,0,Au,C10 H23 Au1 Cl3 P1 Se1,39,Cl Cl Cl Se,Cl Cl Cl Se,3,3
SEWZOL,C,1,1,0,0,Au,C10 H23 Au1 Cl1 P1 Se1,37,Cl Se,Cl Se,1,1
SEWZUR,C,1,1,0,0,Au,C11 H25 Au1 Cl1 P1 Se1,40,Cl Se,Cl Se,1,1
SEZBIL,C,1,0,0,1,Pd,C34 H38 Cl1 N1 O2 Pd1 S2,79,Cl N O S,Cl N O S,4,2
SICMEW,C,1,0,1,0,Hg,C17 H17 Cl1 Hg1 O1,37,C Cl O,C Cl,2,2
